Age,Gender,Married,Education,Employment,City,Dependents,Income,LoanAmount,CreditScore,TermMonths,Approved
35,Female,Yes,Postgraduate,Self-Employed,Mumbai,3,74200.0,66000.0,568,36,N
28,Female,No,High School,Salaried,Bengaluru,2,25900.0,50000.0,722,60,Y
36,Male,Yes,High School,Self-Employed,Lucknow,2,25900.0,50000.0,727,24,Y
22,Male,Yes,Postgraduate,Business,Delhi,1,64100.0,50000.0,716,84,Y
25,Male,No,Graduate,Self-Employed,Bengaluru,2,29000.0,50000.0,,36,N
25,Male,Yes,Graduate,Self-Employed,Mumbai,3,48700.0,50000.0,686,24,N
55,Male,Yes,Graduate,Self-Employed,Delhi,4,102100.0,86000.0,617,12,Y
53,Male,No,High School,,Delhi,2,70000.0,63000.0,657,12,N
52,Male,No,Graduate,,Delhi,4,76500.0,50000.0,831,36,Y
41,Male,Yes,Postgraduate,Salaried,Delhi,4,,50000.0,687,36,Y
53,Male,Yes,Graduate,Salaried,Delhi,2,45500.0,50000.0,597,84,N
28,Female,Yes,Graduate,,Mumbai,2,30400.0,50000.0,693,60,N
61,Female,Yes,Postgraduate,Business,Mumbai,0,,50000.0,585,12,Y
43,Male,Yes,Graduate,Self-Employed,Delhi,1,50300.0,50000.0,596,36,N
63,Male,Yes,Graduate,Salaried,Delhi,4,69400.0,50000.0,607,36,N
27,Male,No,Postgraduate,Salaried,Delhi,0,63400.0,50000.0,649,12,N
43,Male,No,Graduate,Salaried,Mumbai,1,47100.0,50000.0,746,60,Y
52,Male,No,High School,,Mumbai,3,38200.0,50000.0,720,36,N
43,Male,No,High School,Salaried,Mumbai,1,44200.0,50000.0,717,12,N
41,Male,No,High School,Salaried,Delhi,4,32300.0,50000.0,603,36,N
,Male,No,Graduate,Business,Delhi,3,37400.0,50000.0,642,60,N
38,Male,No,Graduate,Self-Employed,Lucknow,0,45900.0,50000.0,699,24,Y
31,Male,Yes,Graduate,Salaried,Delhi,1,55300.0,50000.0,636,24,Y
34,Male,Yes,Graduate,Salaried,Delhi,3,48900.0,50000.0,661,12,Y
51,Female,Yes,Graduate,Business,Delhi,4,64900.0,50000.0,711,24,Y
49,Female,Yes,Postgraduate,Self-Employed,Lucknow,4,,50000.0,656,84,Y
,Female,Yes,High School,Self-Employed,Bengaluru,4,47600.0,50000.0,696,60,N
37,Male,Yes,Graduate,Salaried,Bengaluru,0,51100.0,50000.0,791,12,Y
64,Female,Yes,,Salaried,Lucknow,3,84300.0,76000.0,668,36,Y
24,Male,Yes,Graduate,,Delhi,0,50700.0,50000.0,763,12,Y
36,Male,Yes,High School,Self-Employed,Lucknow,0,36700.0,50000.0,719,36,N
26,Female,No,,Salaried,Delhi,3,45500.0,50000.0,577,12,N
36,Male,No,,Salaried,Bengaluru,2,64100.0,50000.0,603,60,N
64,Male,Yes,Graduate,,Mumbai,3,68400.0,50000.0,622,36,N
37,Female,Yes,Postgraduate,Business,Mumbai,4,83600.0,65000.0,620,60,Y
61,Female,Yes,Postgraduate,Self-Employed,Lucknow,0,101300.0,50000.0,674,36,Y
43,Female,No,Graduate,Salaried,Delhi,2,65300.0,50000.0,723,24,Y
52,Male,No,Graduate,Salaried,Lucknow,4,71300.0,57000.0,768,24,Y
,Male,Yes,Graduate,Salaried,Mumbai,2,58600.0,50000.0,702,24,Y
32,Female,,Postgraduate,Salaried,Bengaluru,2,78300.0,50000.0,649,36,Y
,Male,Yes,High School,,Lucknow,2,66800.0,50000.0,534,36,N
64,Female,,Graduate,Salaried,Delhi,4,89600.0,54000.0,685,60,Y
32,Male,No,Postgraduate,Salaried,Lucknow,0,,50000.0,682,12,Y
56,Male,Yes,High School,Business,,4,584800.0,50000.0,,24,N
32,Male,Yes,Graduate,Business,Bengaluru,4,52600.0,50000.0,827,84,Y
53,Female,Yes,Graduate,Salaried,Delhi,4,76400.0,50000.0,767,84,Y
56,Male,Yes,Postgraduate,Salaried,Mumbai,2,94900.0,63000.0,735,84,Y
41,Male,No,Postgraduate,Salaried,Bengaluru,2,81000.0,50000.0,613,24,N
54,Male,No,Graduate,Salaried,Mumbai,1,,50000.0,644,12,N
33,Male,Yes,,Salaried,Delhi,1,59200.0,50000.0,673,12,N
24,Male,Yes,Graduate,Salaried,Delhi,4,76800.0,50000.0,626,12,N
25,Female,No,Graduate,Self-Employed,Pune,2,39100.0,50000.0,715,84,Y
41,Male,Yes,Graduate,Salaried,Delhi,3,58900.0,50000.0,705,84,Y
61,Female,No,Postgraduate,Business,Bengaluru,0,90600.0,81000.0,604,84,N
26,Female,No,High School,Salaried,Lucknow,3,23600.0,50000.0,764,60,N
41,Male,Yes,High School,Salaried,,3,61500.0,50000.0,687,24,N
52,Male,No,Graduate,Salaried,Delhi,4,59800.0,50000.0,559,36,N
30,Female,Yes,Graduate,Salaried,Bengaluru,0,42400.0,50000.0,676,84,N
53,Male,Yes,Graduate,Salaried,Delhi,2,49800.0,50000.0,700,84,N
34,Male,Yes,High School,Business,Bengaluru,2,27600.0,50000.0,748,36,Y
57,Female,Yes,Graduate,Salaried,Bengaluru,2,51900.0,50000.0,656,84,N
,Female,No,Postgraduate,Salaried,Bengaluru,0,91000.0,50000.0,738,24,Y
45,Female,No,High School,Salaried,Mumbai,2,,50000.0,693,36,Y
28,Male,No,Graduate,Salaried,Bengaluru,1,41900.0,50000.0,588,84,N
41,Female,No,Postgraduate,Salaried,Bengaluru,3,58000.0,51000.0,581,24,N
,Female,Yes,High School,Salaried,Delhi,1,70000.0,63000.0,759,60,Y
21,Male,Yes,Graduate,Self-Employed,Bengaluru,2,,50000.0,764,36,Y
55,Female,No,High School,Salaried,Pune,3,71200.0,50000.0,703,24,Y
43,Male,No,Postgraduate,Salaried,Bengaluru,0,76400.0,50000.0,785,24,Y
53,Male,Yes,Graduate,Self-Employed,Mumbai,3,61200.0,50000.0,754,60,Y
50,Male,Yes,Postgraduate,Business,Mumbai,3,84000.0,54000.0,728,36,Y
40,Male,Yes,High School,Salaried,Delhi,0,51200.0,50000.0,616,24,N
,Male,Yes,Graduate,Salaried,Delhi,0,49000.0,50000.0,801,60,Y
49,Female,No,Graduate,Salaried,Delhi,4,59200.0,56000.0,718,12,N
27,Female,Yes,,Salaried,Lucknow,1,28000.0,50000.0,653,12,N
47,Male,No,High School,Salaried,Delhi,4,33100.0,50000.0,633,84,N
25,Female,,High School,Self-Employed,Pune,2,33400.0,50000.0,698,60,Y
50,Female,No,Postgraduate,Salaried,Delhi,1,64700.0,50000.0,563,36,N
49,Male,Yes,Graduate,Self-Employed,Delhi,1,59900.0,50000.0,729,12,Y
24,Male,Yes,Graduate,Salaried,Mumbai,3,51800.0,50000.0,613,36,N
55,Male,No,Graduate,Business,Mumbai,0,74200.0,50000.0,706,36,Y
,Male,No,Graduate,Self-Employed,Pune,2,,53000.0,643,36,N
56,Female,Yes,Graduate,Salaried,Lucknow,1,70700.0,50000.0,661,12,N
22,Male,No,Graduate,Salaried,Pune,0,54900.0,50000.0,627,36,N
29,Male,Yes,Graduate,Salaried,Delhi,1,58300.0,50000.0,669,36,N
,Male,No,High School,Business,Pune,2,50200.0,50000.0,812,24,Y
,Male,Yes,Postgraduate,Salaried,Delhi,3,78300.0,50000.0,777,12,Y
35,Female,Yes,Postgraduate,,Lucknow,0,81600.0,50000.0,705,84,Y
50,Male,Yes,Graduate,Salaried,,4,60800.0,50000.0,678,60,N
27,Male,Yes,Graduate,Self-Employed,Mumbai,4,29300.0,50000.0,739,60,N
51,Male,Yes,High School,Salaried,Delhi,3,,54000.0,,60,Y
25,Male,Yes,Postgraduate,Salaried,Delhi,4,70200.0,50000.0,622,60,N
,Male,Yes,Postgraduate,Business,Delhi,2,79400.0,71000.0,675,12,Y
47,Male,No,Postgraduate,,Lucknow,4,,50000.0,552,36,N
56,Male,Yes,Graduate,Self-Employed,Pune,3,60600.0,50000.0,759,84,Y
28,Male,No,High School,Salaried,Lucknow,2,36800.0,50000.0,825,24,Y
34,Female,No,High School,Salaried,,0,35800.0,50000.0,686,84,Y
62,Female,Yes,High School,Business,Bengaluru,2,39300.0,50000.0,531,12,N
65,Female,Yes,High School,Self-Employed,Delhi,4,69100.0,50000.0,723,24,Y
47,Female,No,High School,,Mumbai,4,,50000.0,617,24,N
41,Female,No,Postgraduate,Salaried,Mumbai,2,66700.0,56000.0,634,60,Y
36,Male,Yes,,Salaried,,1,54700.0,51000.0,724,12,Y
48,Male,No,High School,Salaried,Bengaluru,3,71200.0,50000.0,,24,N
47,Male,Yes,,Salaried,Delhi,0,,50000.0,646,60,N
34,Male,Yes,Graduate,Salaried,Mumbai,0,47700.0,50000.0,635,24,N
22,Female,No,Graduate,Salaried,Bengaluru,2,41400.0,50000.0,689,84,Y
27,Male,Yes,Graduate,Salaried,Delhi,4,66800.0,58000.0,651,84,N
64,Female,No,Postgraduate,Salaried,Lucknow,1,92800.0,50000.0,602,24,Y
39,Female,Yes,,Salaried,Mumbai,2,50500.0,50000.0,657,36,Y
42,Male,No,Graduate,Salaried,Pune,1,77500.0,50000.0,704,24,Y
42,Female,Yes,Graduate,Business,Bengaluru,2,54400.0,50000.0,668,24,Y
56,Male,Yes,Graduate,Self-Employed,Bengaluru,0,80200.0,50000.0,581,60,N
23,Female,Yes,Graduate,Salaried,Bengaluru,2,24100.0,50000.0,,24,Y
,Male,Yes,Graduate,Self-Employed,,2,40600.0,50000.0,488,12,N
33,Male,No,High School,Self-Employed,Bengaluru,1,15900.0,50000.0,649,24,N
42,Male,Yes,Graduate,Salaried,Delhi,1,46200.0,50000.0,637,84,N
,Male,Yes,High School,Salaried,Delhi,3,62100.0,50000.0,690,24,Y
43,Male,Yes,High School,Salaried,Bengaluru,0,44200.0,50000.0,719,24,Y
40,Female,Yes,High School,Salaried,Delhi,0,38300.0,50000.0,759,60,Y
,Female,No,Postgraduate,Self-Employed,Delhi,0,88800.0,53000.0,,12,Y
28,Male,,Graduate,Business,Delhi,4,43700.0,50000.0,721,24,Y
46,Male,No,Graduate,Salaried,Mumbai,1,66100.0,53000.0,694,12,Y
45,Male,Yes,Postgraduate,Self-Employed,Delhi,0,,50000.0,560,84,N
42,Male,No,High School,Salaried,Bengaluru,4,12400.0,50000.0,813,84,N
57,Female,Yes,Graduate,Salaried,Pune,0,62400.0,50000.0,579,60,N
,Male,Yes,Graduate,Self-Employed,Pune,1,52700.0,50000.0,,24,N
63,Male,No,High School,Salaried,Mumbai,0,61600.0,50000.0,707,60,N
35,Male,No,Graduate,Salaried,Mumbai,3,57400.0,50000.0,699,60,Y
45,Male,No,Postgraduate,Salaried,Bengaluru,3,84800.0,50000.0,645,84,Y
44,Male,Yes,High School,Business,Mumbai,3,42000.0,50000.0,738,12,Y
59,Female,Yes,Graduate,Salaried,Bengaluru,1,67900.0,53000.0,571,60,N
40,Female,No,High School,Salaried,Delhi,1,39200.0,50000.0,675,12,N
33,Female,Yes,Graduate,Salaried,Lucknow,4,64600.0,50000.0,641,36,N
,Female,No,Graduate,Salaried,Delhi,4,31200.0,50000.0,633,84,N
37,Male,Yes,Graduate,Salaried,Pune,0,,50000.0,710,12,Y
58,Female,Yes,Graduate,Self-Employed,Bengaluru,3,,50000.0,755,12,Y
21,Female,No,High School,Self-Employed,Delhi,4,43700.0,50000.0,656,84,Y
61,Female,No,Graduate,,Bengaluru,2,72400.0,50000.0,,12,Y
45,Female,Yes,Graduate,Self-Employed,Delhi,3,,50000.0,683,60,Y
27,Female,Yes,Graduate,Salaried,Pune,0,60200.0,50000.0,618,36,N
34,Female,Yes,High School,Salaried,Bengaluru,0,35900.0,50000.0,662,24,Y
45,Male,Yes,Graduate,Salaried,Delhi,0,59100.0,50000.0,659,84,Y
35,Female,Yes,Graduate,Salaried,Delhi,0,48700.0,50000.0,631,84,N
25,Male,Yes,High School,Business,Pune,4,,50000.0,710,24,N
,Male,No,High School,Self-Employed,Delhi,3,,50000.0,696,12,N
51,Female,No,Graduate,Business,Pune,3,69800.0,59000.0,569,12,N
26,Female,Yes,Graduate,Salaried,Pune,1,47300.0,50000.0,564,12,N
33,Female,Yes,High School,Salaried,Bengaluru,4,,50000.0,710,84,N
31,Male,Yes,Postgraduate,Salaried,Delhi,0,57400.0,50000.0,623,36,N
50,Female,Yes,Graduate,Salaried,,4,91800.0,67000.0,701,60,Y
53,Female,Yes,Graduate,Salaried,Lucknow,0,66700.0,50000.0,735,24,Y
53,Male,Yes,Graduate,Salaried,Delhi,0,,50000.0,591,84,N
63,Male,No,Graduate,Salaried,Mumbai,0,95000.0,76000.0,581,60,N
55,Male,Yes,Graduate,Business,Delhi,3,74000.0,50000.0,797,60,Y
35,Female,Yes,Postgraduate,Salaried,Mumbai,1,79500.0,57000.0,705,36,Y
25,Male,Yes,Graduate,Salaried,Bengaluru,2,41900.0,50000.0,651,60,N
48,Female,No,Graduate,Self-Employed,Mumbai,2,60500.0,50000.0,615,36,N
62,Male,Yes,Graduate,Salaried,Bengaluru,3,74900.0,50000.0,644,24,Y
64,Female,Yes,Graduate,Business,Mumbai,1,62100.0,50000.0,597,36,N
31,Male,No,High School,Self-Employed,Delhi,0,32900.0,50000.0,742,24,Y
31,Female,Yes,Graduate,Salaried,Delhi,1,52600.0,50000.0,626,84,N
22,Male,Yes,Graduate,Self-Employed,Pune,1,63100.0,50000.0,757,60,Y
27,Male,No,Postgraduate,Self-Employed,Bengaluru,3,66400.0,50000.0,652,60,N
45,Female,Yes,Graduate,Self-Employed,Mumbai,3,33600.0,50000.0,607,60,N
45,Female,Yes,Graduate,Self-Employed,Pune,0,60500.0,58000.0,650,36,N
37,Female,Yes,Postgraduate,Self-Employed,Delhi,3,107300.0,64000.0,496,84,N
34,Male,Yes,Graduate,Salaried,Delhi,0,62100.0,50000.0,672,24,Y
58,Male,No,High School,Salaried,Delhi,3,,50000.0,668,36,N
41,Male,Yes,High School,Self-Employed,Lucknow,1,50100.0,50000.0,738,12,Y
,Male,Yes,High School,Business,Bengaluru,1,48500.0,50000.0,548,24,N
64,Female,Yes,High School,Salaried,Bengaluru,2,47500.0,50000.0,761,36,Y
35,Female,Yes,Graduate,Self-Employed,Delhi,1,48400.0,50000.0,737,36,Y
30,Female,Yes,Graduate,Salaried,Delhi,3,49200.0,50000.0,768,84,Y
